accident_id,0,cause_id,1
-2638,-2638,11,11
24950,24950,15,15
3642,3642,14,14
3,3,14,14
6,6,15,15
7,7,8,8
226,226,3,3
12,12,18,18
13,13,7,7
16,16,15,15
16,16,87,87
17,17,7,7
3923,3923,11,11
34147,34147,3,3
21,21,12,12
22,22,14,14
8948,8948,16,16
24,24,14,14
26,26,15,15
27,27,15,15
3992,3992,13,13
30,30,15,15
18286,18286,6,6
32,32,4,4
3468,3468,10,10
34,34,10,10
34,34,14,14
35,35,15,15
88,88,15,15
3755,3755,12,12
3467,3467,10,10
11399,11399,3,3
39,39,8,8
3707,3707,12,12
3223,3223,3,3
3092,3092,16,16
2745,2745,13,13
8396,8396,4,4
48,48,14,14
12065,12065,86,86
8884,8884,86,86
16848,16848,86,86
52,52,10,10
8874,8874,7,7
55,55,12,12
1,1,8,8
57,57,10,10
2,2,12,12
59,59,7,7
59,59,18,18
5,5,15,15
8,8,4,4
62,62,15,15
9,9,7,7
65,65,12,12
10,10,10,10
67,67,17,17
11,11,18,18
14,14,7,7
69,69,13,13
15,15,86,86
71,71,7,7
72,72,15,15
18,18,6,6
19,19,13,13
23,23,15,15
25,25,7,7
78,78,10,10
28,28,14,14
80,80,87,87
29,29,14,14
82,82,7,7
83,83,15,15
84,84,15,15
31,31,12,12
86,86,14,14
87,87,14,14
89,89,11,11
90,90,10,10
91,91,12,12
33,33,7,7
36,36,4,4
36,36,7,7
95,95,10,10
96,96,4,4
37,37,7,7
98,98,13,13
99,99,14,14
100,100,14,14
37,37,10,10
38,38,4,4
106,106,11,11
38,38,7,7
108,108,11,11
112,112,11,11
41,41,15,15
42,42,11,11
114,114,11,11
115,115,11,11
43,43,17,17
117,117,11,11
50486,50486,11,11
119,119,16,16
120,120,13,13
121,121,11,11
123,123,11,11
124,124,11,11
125,125,11,11
126,126,11,11
127,127,11,11
128,128,11,11
129,129,11,11
130,130,11,11
131,131,11,11
44,44,13,13
46,46,6,6
135,135,11,11
136,136,11,11
138,138,11,11
139,139,11,11
140,140,11,11
141,141,11,11
142,142,11,11
46,46,15,15
144,144,11,11
146,146,13,13
148,148,11,11
47,47,15,15
150,150,11,11
151,151,11,11
152,152,11,11
153,153,11,11
154,154,11,11
49,49,7,7
156,156,11,11
157,157,11,11
158,158,11,11
159,159,11,11
160,160,11,11
161,161,11,11
162,162,8,8
50,50,7,7
164,164,7,7
164,164,10,10
165,165,11,11
166,166,11,11
167,167,11,11
168,168,11,11
169,169,11,11
170,170,11,11
50,50,12,12
172,172,11,11
173,173,11,11
174,174,11,11
175,175,7,7
50,50,87,87
177,177,11,11
178,178,11,11
179,179,11,11
180,180,11,11
181,181,11,11
51,51,86,86
183,183,11,11
53,53,13,13
185,185,11,11
186,186,11,11
187,187,11,11
188,188,11,11
54,54,7,7
190,190,6,6
190,190,15,15
191,191,8,8
192,192,3,3
56,56,7,7
194,194,11,11
195,195,11,11
197,197,11,11
198,198,11,11
199,199,11,11
200,200,11,11
201,201,11,11
202,202,7,7
203,203,11,11
204,204,6,6
205,205,11,11
206,206,11,11
207,207,11,11
208,208,11,11
209,209,11,11
210,210,11,11
212,212,11,11
213,213,11,11
214,214,11,11
9171,9171,11,11
215,215,11,11
216,216,11,11
217,217,11,11
218,218,11,11
16367,16367,86,86
18081,18081,8,8
25168,25168,11,11
222,222,11,11
223,223,11,11
224,224,11,11
225,225,11,11
227,227,86,86
228,228,11,11
21392,21392,11,11
230,230,11,11
231,231,11,11
232,232,11,11
233,233,11,11
234,234,11,11
236,236,11,11
237,237,11,11
58181,58181,13,13
50518,50518,7,7
59476,59476,8,8
25164,25164,13,13
239,239,17,17
240,240,86,86
241,241,11,11
242,242,11,11
243,243,11,11
244,244,11,11
245,245,11,11
246,246,18,18
247,247,11,11
248,248,7,7
249,249,11,11
250,250,11,11
251,251,11,11
252,252,11,11
