accident_id,0,factor_id,1
3,3,31,31
6,6,31,31
6,6,101,101
7,7,34,34
3923,3923,37,37
12,12,37,37
13,13,31,31
13,13,43,43
8948,8948,31,31
16,16,34,34
17,17,37,37
34147,34147,36,36
2265,2265,31,31
21,21,37,37
22,22,43,43
3992,3992,35,35
24,24,43,43
26,26,37,37
27,27,37,37
18286,18286,37,37
30,30,37,37
32,32,37,37
3642,3642,37,37
34,34,31,31
34,34,42,42
35,35,37,37
3992,3992,36,36
3468,3468,37,37
3467,3467,37,37
39,39,34,34
11399,11399,43,43
88,88,43,43
3755,3755,34,34
3707,3707,37,37
3223,3223,37,37
3092,3092,42,42
48,48,37,37
2745,2745,37,37
8396,8396,31,31
52,52,31,31
52,52,35,35
52,52,43,43
8396,8396,43,43
12065,12065,101,101
57,57,31,31
16848,16848,101,101
8874,8874,31,31
59,59,31,31
781,781,43,43
1,1,34,34
2,2,37,37
62,62,34,34
5,5,37,37
65,65,101,101
9,9,42,42
67,67,34,34
10,10,43,43
11,11,43,43
14,14,35,35
69,69,31,31
69,69,43,43
15,15,101,101
71,71,31,31
71,71,34,34
71,71,36,36
71,71,43,43
18,18,43,43
19,19,31,31
19,19,43,43
23,23,37,37
25,25,36,36
28,28,37,37
29,29,31,31
78,78,42,42
29,29,43,43
80,80,43,43
31,31,37,37
82,82,31,31
83,83,37,37
84,84,37,37
33,33,101,101
36,36,31,31
37,37,31,31
86,86,31,31
86,86,34,34
86,86,43,43
87,87,37,37
37,37,40,40
41,41,37,37
95,95,37,37
42,42,37,37
98,98,37,37
99,99,34,34
100,100,31,31
100,100,34,34
43,43,37,37
44,44,37,37
46,46,31,31
46,46,34,34
47,47,37,37
49,49,31,31
49,49,35,35
49,49,43,43
50,50,37,37
119,119,37,37
120,120,37,37
51,51,37,37
12066,12066,37,37
53,53,31,31
53,53,43,43
54,54,31,31
56,56,37,37
146,146,31,31
58,58,34,34
152,152,37,37
58,58,43,43
162,162,43,43
58,58,101,101
164,164,31,31
164,164,43,43
60,60,40,40
175,175,35,35
175,175,36,36
175,175,101,101
60,60,43,43
181,181,32,32
61,61,31,31
61,61,40,40
66,66,34,34
66,66,43,43
68,68,34,34
190,190,37,37
191,191,37,37
192,192,31,31
192,192,41,41
192,192,43,43
68,68,36,36
68,68,37,37
70,70,34,34
202,202,37,37
204,204,31,31
204,204,101,101
73,73,31,31
73,73,34,34
73,73,43,43
227,227,36,36
227,227,101,101
75,75,34,34
75,75,101,101
240,240,101,101
248,248,31,31
248,248,101,101
77,77,34,34
79,79,40,40
256,256,37,37
92,92,37,37
93,93,37,37
94,94,31,31
94,94,43,43
269,269,37,37
97,97,34,34
101,101,36,36
275,275,101,101
101,101,40,40
101,101,41,41
102,102,37,37
109,109,101,101
132,132,37,37
143,143,31,31
149,149,37,37
155,155,42,42
163,163,42,42
18081,18081,37,37
21392,21392,35,35
25168,25168,37,37
318,318,101,101
327,327,36,36
54158,54158,37,37
337,337,31,31
337,337,34,34
25164,25164,37,37
350,350,37,37
355,355,101,101
226,226,43,43
4009,4009,31,31
16367,16367,42,42
4009,4009,32,32
4009,4009,43,43
3895,3895,37,37
370,370,37,37
3845,3845,37,37
374,374,36,36
381,381,37,37
3773,3773,37,37
383,383,37,37
33988,33988,31,31
3306,3306,37,37
50085,50085,101,101
49020,49020,43,43
49855,49855,43,43
53753,53753,37,37
3074,3074,37,37
11805,11805,35,35
14077,14077,37,37
8884,8884,36,36
393,393,43,43
395,395,43,43
398,398,43,43
399,399,31,31
400,400,31,31
176,176,37,37
182,182,31,31
182,182,35,35
182,182,36,36
182,182,43,43
406,406,34,34
407,407,31,31
407,407,43,43
408,408,37,37
409,409,43,43
409,409,101,101
45,45,31,31
45,45,43,43
193,193,31,31
193,193,37,37
219,219,31,31
220,220,37,37
221,221,37,37
229,229,37,37
238,238,37,37
238,238,43,43
424,424,101,101
425,425,35,35
426,426,37,37
45,45,101,101
428,428,37,37
51199,51199,37,37
46712,46712,43,43
431,431,43,43
258,258,34,34
258,258,43,43
264,264,37,37
272,272,37,37
276,276,31,31
436,436,31,31
436,436,43,43
276,276,35,35
276,276,36,36
276,276,43,43
276,276,101,101
441,441,37,37
442,442,37,37
443,443,42,42
444,444,41,41
279,279,31,31
447,447,37,37
279,279,41,41
279,279,101,101
452,452,37,37
288,288,37,37
454,454,37,37
455,455,37,37
289,289,43,43
459,459,37,37
299,299,101,101
303,303,101,101
462,462,40,40
315,315,31,31
315,315,43,43
316,316,37,37
339,339,31,31
339,339,36,36
467,467,37,37
339,339,101,101
343,343,43,43
347,347,37,37
471,471,101,101
354,354,101,101
474,474,31,31
474,474,101,101
475,475,34,34
367,367,31,31
367,367,35,35
478,478,37,37
479,479,37,37
481,481,31,31
482,482,37,37
482,482,40,40
368,368,101,101
369,369,37,37
372,372,31,31
487,487,38,38
488,488,37,37
372,372,35,35
372,372,36,36
492,492,35,35
492,492,42,42
492,492,43,43
372,372,41,41
372,372,101,101
498,498,42,42
499,499,37,37
500,500,42,42
503,503,37,37
377,377,42,42
378,378,34,34
380,380,101,101
382,382,37,37
509,509,43,43
511,511,37,37
512,512,37,37
109050,109050,36,36
387,387,37,37
388,388,101,101
516,516,37,37
397,397,37,37
518,518,101,101
519,519,31,31
519,519,43,43
402,402,37,37
522,522,37,37
109045,109045,34,34
525,525,31,31
525,525,35,35
525,525,101,101
410,410,43,43
414,414,37,37
533,533,31,31
